"1","","","","",""
"2","","","","",""
"3","","","","",""
"4","","","","",""
"5","","","","",""
"6","","","","",""
"62","教祖大人140分钟连续洗脑","bilibilibi","好欢乐 看完你就赢了 sm3667317","https://www.bilibili.com/video/av62/","蓝蓝路,洗脑,I'M LOVIN' IT,NICONICO组曲,东方PROJECT"
"63","鸛貍猿獵人OL：MHF中銃炮才是男人的浪漫","閃電華爾滋","猴子獵人OnLine 銃炮團團戰 渣畫質淚目","https://www.bilibili.com/video/av63/","远古巨坟,游戏集锦,怪物獵人OL,喵了个喵,手办大佬,哇了个哇"
"64","【古明地觉】音乐合辑（持续更新中）","黄泉之水","P1出自(C80)[Music Advance]Time Unlimited。全てを見抜く眼光：av117550。Sadistic Paranoia：av103799","https://www.bilibili.com/video/av64/","东方PROJECT,东方,小五,古明地觉,考古,21集空降,手办大佬"
"65","汤姆和米奇演奏HELL MARCH（红警3主题曲）","黄泉之水","指挥：汤姆，演奏：米奇","https://www.bilibili.com/video/av65/","远古巨坟,实况解说,迪士尼,猫和老鼠,红色警戒,米老鼠,H泉考古队,地狱进行曲,黄泉之水"
"66","","","","",""
"67","","","","",""
"68","[ロミオとシンデレラ]BYのど飴 超燃版本","Kresnik·Akatsuki","のど飴单独翻唱版~ 字幕脑补吧~之前的合唱版有~","https://www.bilibili.com/video/av68/","罗密欧与灰姑娘,罗密欧与辛德瑞拉,电竞赛事,消失のUP主,SM6773331,版本のど饴,地球温暖歌,坟"
"69","","","","",""
"70","","","","",""
"71","","","","",""
"72","【DOMO经典游戏】阿猫阿狗初代","扬帆远洋","经典DOS游戏","https://www.bilibili.com/video/av72/","游戏集锦,阿猫阿狗"
"73","[火星物]神广告，神创意，JUST DO IT","五月雨","广告要不是创意，是寂寞","https://www.bilibili.com/video/av73/","广告,随时犯二,笑点低,耐克,AV画质,考古,么么哒,渣画质,坟系列"
"74","","","","",""
"75","","","","",""
"76","","","","",""
"77","","","","",""
"78","暑期国产强档★银翼金刚★预告片","大佐","原本发在AC上的，最近上不起就也发一份在这里吧。","https://www.bilibili.com/video/av78/","UP主现存,汪星人,变形金刚,银翼杀手,J10"
"79","蜀绣爷们儿版","shmily","ACFUN来大姨妈了.木办法","https://www.bilibili.com/video/av79/","鬼畜,春哥,D8,爷们绣,四娘"
"80","","","","",""
"81","","","","",""
"82","","","","",""
